,평점,일시,감상평
88,10,2016.02.25 22:44,마지막  장면의 주인공의 성공은 현 사회의 냉혹함을 그대로 전달한다죄책감도  모르는  성공시대의  자화상들  말이다
89,10,2018.02.14 15:47,"개인적으로 파이트클럽,유주얼서스팩트급 명작이라 생각함."
90,8,2015.03.08 09:33,재미있는데 너무 찝찝한 결말
91,8,2015.03.02 22:51,아주 볼만한 영화임! 그레이뭐시기 안보고 상영관이 작더라도 이영화 보길 진짜 잘했음. 이런 영화가 홍보가 덜되서 상영관도 별로 없고 다른 관객들이 모른다는게 안타까울뿐.. 제이크질렌할 연기력도 새삼 다시 봤음b
92,8,2015.03.01 23:52,제이크질렌할의 눈빛연기는정말..하지만 결말이 다소 허무..ㅠ
93,10,2019.11.09 23:58,소오름...  솔직히 조커보다 나은듯 하다.  조커는 뭔가 그렇게 될 수밖에 없었던 나름의 정당성이 부여된 사이코패스라면 루(제이크 질렌할)은 그냥 진짜 사이코패스다.  제이크가 그냥 잘 생긴 배우가 아님을 증명한 영화 같다. 
94,10,2019.10.07 17:45,제이크질렌할 최고의 연기를 볼 수 있는 작품.질렌할 눈빛하나에 심장이 터질듯한...이후 어떤 작품에서도 이러한 긴장감을 볼 수 없어 아쉽다.
95,7,2019.08.02 12:06,제이크 질렌할의 진면목을 확인하고 싶다면
96,10,2019.07.30 00:24,개소름..제이크 팬이지만 이건 진짜 줘패주고 싶은 연기. 소시오패스 그 자체. 주변에 있을까 겁남
97,8,2019.07.25 21:20,제이크 질렌할이 가장 연기를 잘했던 영화
98,8,2019.06.23 04:22,회사 상무를 보는  것 같아 익숙하게 느꼈졌다
99,10,2019.05.10 16:48,주인공 캐스팅 정말 잘한듯 ㅋㅋㅋ 와 또라이 눈빛 최고 인정!!
100,9,2019.04.30 20:45,제이크 질렌할이 이정도였나 싶은 생각이 들게  만드는 영화.
101,9,2018.10.04 07:23,"케이블로 방금 봤는데, 주인공 연기만으로 끝까지 보게 만드네요"
102,10,2018.09.30 07:58,개꿀잼인데 평점이낮네
103,9,2018.03.17 16:59,질렌할도 저런눈으로 저런연기를 할수있군요. 예상밖의 캐릭터와 결말. 가벼운것처럼 결말을 보여주지만 결코 가볍지않은 .
104,8,2018.01.22 16:50,"성과주의와 계약제의 나라, 미국의 단면을 보여주는 영화. 그게 아메리칸 드림을 가능하게 하는 시스템이다만. 보고나서 씁쓸.."
105,7,2016.06.25 01:01,질렌할 소름돋는 연기.. 성공지향의 두 비양심의 성공적인 결합..
106,10,2016.04.30 01:18,제이크 질렌할때문에 내내 섬뜩함을 느껴 몰입했다
107,9,2015.06.03 05:42,제이크질렌할 연기 지린다
108,10,2015.03.12 09:51,보는 내내 심장이 쿵쾅거려서 괴로웠다. 올해 베스트 무비로 추천!
109,10,2015.03.08 04:08,싸이코 연기가 후덜덜 하네요. 재밌음.
110,9,2015.03.03 05:06,제이크 질할렌의 소름돋는 연기...
