,평점,일시,감상평
440,7,2017.04.15 17:20,물리적 폭력만큼이나 잔인한 정신적 폭력 ..
441,10,2017.04.07 13:56,진심 때리고 싶었다! 방송국놈들이 이렇게 쌩또라이면...무섭습니다
442,7,2017.04.02 14:33,네이버 동영상 앱 깔았더니 무료로 영화가 조금 있어서 별 생각없이 하나 고른 것. 기대보다 재밌었다. 제이크 질렌한 얼굴 어쩔거야. 요새 나 보는 줄 알았네. 암 생각없이 시간 보내기에 최고. (그래도 조금은 생각이 들게 하긴 한다) 감독이 연상 취향 
443,8,2017.04.01 22:00,히야~~ 참.. 정말 나쁜놈이란 말이 절로 나오네..
444,10,2017.03.27 00:27,을이 갑을 따먹는....
445,10,2017.03.26 10:06,광기가 서려있는 현실을 보았다.
446,10,2017.03.20 11:50,와 이거 존잼인데 ㅋㅋㅋㅋ
447,9,2017.03.19 10:07,장르는 공포영화 ㅡ라구 해두자..
448,8,2017.02.27 13:23,소름끼치는 소시오패스 연기.. 분노도 슬픔도 없이 포커패이스의 눈빛연기는 최고다.
449,9,2017.02.25 01:20,상당한 몰입도....
450,9,2017.02.19 23:52,제이크 질렌할의 연기가 빛을 발한다.
451,9,2017.02.16 18:37,연기천재 제이크 미쳣다
452,8,2017.02.07 20:18,다들 질렌할 연기 칭찬만 하는데 이 영화의 숨은 매력은 질렌할과 르네루소의 관계에 있다.
453,10,2017.02.02 15:44,오랜만에 영화 본 기분.
454,10,2017.02.02 00:44,매번 극중 인물이 자신인 듯 보이게 하는 배우. 예전에 이런 배우가 또 있었지. 히스 레저. 근데 웃긴건 이 두명이 함께 출연한 영화가 있었다는게 더 놀랍다는 거지.
455,9,2017.01.29 18:23,광기어린 연기 긴장감 넘치는 주제
456,10,2017.01.25 02:47,"재밌어요, 철저하게 계산된 움직임 속에 그는 담담하게 범죄를 저지르지만 그 또한 교모하게 빠져나가 허탈함과 동시에 통쾌함. 긴장감 넘치는 연출역시 한몫"
457,10,2017.01.22 00:44,왠만한 공포영화는 저리가라는 스릴러물.
458,8,2017.01.08 18:13,제이크 질렌할 연기 하나로 먹고 들어가는 영화
459,7,2017.01.01 23:01,성공에 눈먼 주인공 역할 아주 적절했다고 봄
460,9,2016.12.26 01:49,사기꾼과 사업가는  종이 한장 차이?
461,9,2016.12.11 00:28,제이크 질렌할을 여기서  알게 되었다. 이후 질렌할 나오는 모든 영화 다봄
462,8,2016.11.26 22:50,보도국장한테 역제의 할때 그 변한 눈빛 지렸음
463,8,2016.11.03 04:03,영화를 보고 수긍할수 밖에 없는 현실이 슬프다.
464,10,2016.10.23 03:54,박찬욱 감독이 꼽은 작년 최고의 영화다 두번 봐라
465,10,2016.10.22 21:56,평식이가 7점 줬는데 이숙명 영화 저널 알바냐?
466,8,2016.10.02 20:25,현실적이고 신선하다. 얄미운 캐릭터.
467,8,2016.09.06 00:48,독특한 소재 독특한 주인공 독특한 결말
468,7,2016.08.19 21:39,흥미로운 요리에 질렌할의 조미료란 가히 쉐프 급.
469,8,2016.08.16 16:34,크.... 눈빛 개쩔어요 상또라이
470,8,2016.08.08 18:43,인간은 나쁘지않으면 살아갈수 없다는것을 제대로 알려주고 보여줬다.
471,7,2016.08.03 14:08,합리주의인 싸이코의 성공이야기. 합리주의적이고 협상하는 데 있어서 머리를 잘 돌리는 건 본받을 만하다고 생각했다. 하지만 그 행동들은 도덕적이고 윤리적인 범주의 국경을 넘어간듯하다.
472,9,2016.07.25 10:46,명작까진 아닐지 몰라도 몇년동안 이런 연출과 연기를 본적이 있었나... 돌아보게함. 제이크 질렌할은 맘에 없던 배우였는데... 귀신이 씌인건가... 소름끼치는 연기력.
473,9,2016.07.19 18:42,제이크질렌할 연기력이 나날히 일취월장하고 있다는 걸 느낌. 완전 또라이 연기 제대로!
474,7,2016.07.18 22:44,그저 잘생긴 배우로만 알고 있었다.
475,9,2016.07.13 03:23,굳무비 재미있게 봤습니다.
476,6,2016.07.11 08:34,제이크 질렌할의 연기와 매력을 볼 수 있었던 영화
477,10,2016.07.07 15:17,리얼 버라이어티한  뉴스 쇼
478,7,2016.06.11 20:08,루이스 블룸 성공담ㅋㅋ
479,9,2016.05.30 21:56,아니 이 사람이 페르시아의 왕자와 소스코드의 주인공이라고? ㅎㄷㄷㄷ 질렌할 킹왕따봉
480,7,2016.05.26 15:18,자극적인 미디어와 그에 쉽게 반응하는 대중들의 성향을 잘 드러내고 있음. 제이크횽의 찌질하고 사이코같은 연기를 보면 정말 화남.
481,9,2016.05.23 04:03,"사회가 근대화하면 근대화한 대로, 낙후되면 낙후된 대로 인간의 잔인함은 늘 이타심을 한참 웃도는 것 같다. 집단을 들어 뭉뚱그려 말하지만 결국 내부의 구성원 하나하나가 다 비슷하니 사회상도 그런 거겠지. 새삼 삶에 대한 회의감이 든다. 영화는 좋았다. "
482,10,2016.05.21 09:25,재미있습니다ㅇㅇㅇㅇ
483,9,2016.05.16 09:47,미친 제이크 질렌할... 잘못된 욕망의 잔혹극
484,10,2016.05.06 20:39,1234512345
485,10,2016.05.06 18:02,잘못된 욕망과 광기를 제대로 보여준 영화 강추
486,9,2016.05.03 18:44,영화가 주는 메시지가 맘에 안듦... 근데 숨막히도록ㅈ ㅐ미있던건 사실
487,9,2016.04.30 00:26,자기의 성공을 위해 같이 일하는 파트너까지 희생시켜가면서 자기 할일하는.. 잔인함..소시오패스가 무엇인지 잘 나타내주는영화한시도 자리를 뜨지않고 끝까지 집중해서 봄..
488,8,2016.04.23 03:50,차가운 사회가 만든 괴물.
489,10,2016.04.23 02:25,미친 영화다.. 간만에 몰입도 좋은 영화!!
490,8,2016.04.19 20:03,괴물을 원하는 곳에서 괴물이 만들어진다
491,10,2016.04.19 02:15,와 진짜 간만에 본 명작이다 신선한소재 사이코패스 연기에 자극성을 중시하는 미디어에 대한 사회풍자 소름돋는다
492,8,2016.04.19 00:17,싸이코패스 연기 대박. 질레한이 그사람처럼 보이더라는 ㅎㅎ 미디어와 언론을 이용한 사이코 패스의 승리. 너무 씁쓸하다.
493,8,2016.04.18 22:19,"기자, 동영상,뉴스,파파라치,보도,매스컴... 얼마나 위험한 진실들이 많은지... 알게 모르게 속아주고, 속기도 하고,,,, 평화를 위해 감추기도 하고... 우리는 이런 세상에 살고있다~^^*"
494,9,2016.04.17 00:02,질렌할 눈이 맛이 갔다...
495,7,2016.04.09 05:26,밑바닥 소시오패스의 성공기
496,8,2016.04.06 09:29,제이크 질렌할의 돋보이는 눈빛연기와 묵묵히 스토리를 진행하는 연출력.센세이셔널리즘에 입각하여 영화의 스토리를 관통하는 주제. 한번쯤은 봐야할 영화다
497,8,2016.03.30 17:20,제이크질렌할 영화끝나고 나서 당신 이렇게 욕하긴 처음 그동안 매력덩어리 연기만 하고 좋게 봤는대  나이트크롤러 보고 정나미가 딱 떨어지네요 진짜 연기 잘하네요  저런 마음이 드니재미있게봤습니다
498,8,2016.03.27 01:20,주도권이건 뉴스대상이건 언제곤 처지가 바뀔수있는 냉혹한 먹이사슬...
499,9,2016.03.17 22:52,정말 오랜만에 제대로 된 상또라이 연기를 보았다
500,8,2016.03.16 02:19,X같은 현실과 부르짖게되는 몽타주
501,9,2016.03.10 00:47,탈선을 미학으로 엮지 않으면서 그 탈선을 주제로 재미를 만들 수 있는 영화는 정말 몇개 없다. 그 중에 하나가 이 영화다.
502,8,2016.03.08 05:02,제대로 된 특종스릴러.결말도 진행도 모두 찝찝한 기분은 지울 수 없다. 현대 사회를 그대로 반영하기에..
503,8,2016.03.02 00:23,와... 섬뜩할정도의 연기력에 거듭 놀랐다
504,8,2016.02.23 20:43,질렌할의 연기...매번 다른 모습을 보여주네요.
505,8,2016.02.23 02:22,의외로 물건인 영화. 남주 질렌할의 연기는 아무나 쉽게 따라할 수조차 없는 역대급 연기. 영국 드라마 홈즈 소시오패스와는 맛이 다른(?) 소시오패스 연기.
506,10,2016.02.22 18:43,"제이크 질렌할 이란 배우를 다시 평가하게한 영화,,,"
507,8,2016.02.20 07:38,GTA실사판을 보는듯한 그리고 그속에나
508,8,2016.02.19 00:12,빽가씨랑 닮은것같음.  연기 담백하게 잘하는.
509,8,2016.02.14 18:44,"이 시대, 이 도시가 낳은 괴물. 소싯적 훈남은 어디가고 미친 달변가 질렌할은 소시오패스 그 자체였다.  주인공이 곧 영화. 현실이라면 사법부에 의해 블룸은 괘씸죄로  좀 크게 혼나야 한다고 생각함..."
510,10,2016.02.14 17:28,섬뜩한연기 집중하면서봤네
511,10,2016.02.14 17:12,와.. 진짜 소름돋는 영화! 무서운 장면 하나 안나오는데 그 어떤 공포영화보다 공포스럽다. 정말 제이크 질렌할 연기 대박!
512,10,2016.02.14 15:48,제이크질렌할 영화는 무조건보세요. 진짜 다 재미있습니다.
513,10,2016.02.14 15:18,"영화 &#39;투모로우&#39;에서는 도서관에서 아버지를 기다리는 아들 역할을 했었죠. 주인공이 처음에는 불쌍해보였는데, 비상식적인 행동을 하면서까지 점점 성공하면서 미친 캐릭터로 변하는 모습이 시선을 땔수없게 만듭니다. "
514,8,2016.02.13 01:40,깔끔한 연출과 연기의 힘
515,10,2016.02.13 01:35,제이크 질렌할의 연기가 명품이네요. 눈빛 하나로 싸이코패스를 완벽히 표현함. 끝날때까지 마음을 놓을 수없는 영화. 관객을 사로잡는 영화입니다.
516,10,2016.02.13 01:31,스릴러인데 유일하게 웃어본.. 재미도 있었던 영화. 거기다가 제이크 질렌할 연기가 너무 돋보였다. 스크린에 수없이 출연했는데도 볼때마다 다르다.. 어느 장르나 역할이나 소화를 완벽히 잘 해내서 개인적으론 제일 연기 잘하는 분이라고 생각된다. 
517,8,2016.02.13 01:17,꽤나 볼만했다. 무릇 영화란 아는만큼 보일것이다. 이 영화도 영화기 때문에 자극적이다. 지루하다고 하는 사람들은 평상시에 높은수위에 자극을 맛봐서 그렇게 느낄수도 있다고 생각한다. 그리고 제이크질렌할의 연기가 많이 늘었다. 
518,9,2016.02.13 01:13,질렌할의원맨쇼. 소재도 재밌을소자.질렌할도 차기 디카프리오가될것인가
519,9,2016.02.13 01:13,진짜 긴장하면서 볼정도로 무서웠다.  어찌보면 경쟁사회가 사이코패스를 만드는 건지도 모르겠다.  제이크질렌할은 진짜 또라이 연기를 너무 잘한다.
520,10,2016.02.13 01:10,감정없어보이는 눈빛이 소름돋는다
521,10,2016.02.13 01:10,오랜만에 몰입해서 보았다. 정말 봐야할  영화 이다
522,9,2016.02.13 01:09,처음부터 끝까지 긴장감을 놓지않고 봤다. 또한 제이크 질렌할의 큰눈이 처음부터 끝까지 광기에 물들어 있었다. 성공에 대한 미칠듯한 그의 열망 확신 그리고 광기가 화면밖으로 까지 느껴졌다.
523,9,2016.02.13 01:08,저 것도 어떻게보면 열정이다.
524,8,2016.02.13 00:43,주인공이 끌고 다니는 사람이 마치 한국의 노동자 같았어요. 주인공은 말 안해도 . . 으휴
525,10,2016.02.13 00:11,와~이거 쩌네 이런게 영화지 연출력 각본 연기 부족한게 없다
526,9,2016.02.11 02:17,"인간의 비-인간화, 사회의 비-사회화."
527,7,2016.02.10 01:21,어른되서 먹고산다는게 이런거겟지? 에휴..
528,9,2016.01.24 22:26,실제로 저런 일들이 가능할 것같다. 불편한 진실.
529,9,2016.01.24 14:46,멍청한 사이코패스는 연쇄살인마가 되고 똑똑한 사이코패스는 ceo가 된다 말빨 좋은 소시오패스가 어떻게 성공을 이뤄가는지 보여주는 영화네요 뒷맛이 찜찜한 영화지만 잘만들어졌고 재미도 있는 영화.
530,10,2016.01.17 21:04,"돈과 인간의 관계,  흥미진진하게 꾸려지는 스토리 전개 좋았다"
531,9,2016.01.17 13:03,제이크 질렌할의 각성의 영화....잉여들의 잠재력을 아주잘보여주는 영화....
532,10,2016.01.16 01:05,연기 스토리 미친 영화5
533,9,2016.01.10 09:03,엔딩이 좋았습니다 긴장감은 보너스
534,7,2016.01.06 20:51,앞으로 소시오패스라는 단어를 보면 이 영화가 제일 먼저 생각날거 같다
535,9,2016.01.06 13:34,소시오패스를 생각치도 못한 방법으로 표현해낸 영화. 수십명의 연쇄살인마는 숫자놀음에 불과한 사이코패스일뿐. 한마디로 와... 세상이 이런 미친 또라이가 다있나.
536,10,2016.01.06 04:35,와 기가 막히게 재밌네. 쫄깃하기도 하고
537,9,2016.01.05 01:30,제이크 질렌할은 루이스 블룸이 뉴스영상을 뒤지듯 연기한다. 루이스 블룸이 곧 제이크 질렌할이다.
538,8,2016.01.04 14:00,질렌할의 눈빛연기가 이 영화의 모든것
539,8,2015.12.25 19:18,재밌네요 주인공의 OOOO 눈빛연기가 오집니다
540,10,2015.12.24 18:53,사이코패스라기보단 인간의 잘못된 욕심을 표현한듯. 관객에게 전달하고자 하는 메시지도 괜찮았고 결정적으로 돈아깝진 않았다.
541,10,2015.12.22 06:16,연기지렸고 전개 지렸는데 르네루소랑 19금 장면 찍었으면 더 대박일텐데 아쉽네
542,8,2015.12.21 23:59,빗나간 목적이 어떻게 광기를 창조하는지 잘 보여준 예시. 조금 더 비약하면 작금의 우리 사회의 한 단면. 근육질이 아닌 질렌할의 희번뜩 거리는 눈을 볼 수 있는 또 다른 재미.
543,8,2015.12.20 18:12,비정한 소시오패스를 실제처럼 연기한 제이크 질렌할의 놀라운 열연. 특히 르네 루소와 식당에서 대화하는 장면은 감탄을 금치 못 할 그의 역대급 연기였다.
544,8,2015.12.16 17:17,죽여주는 연기....
545,9,2015.12.12 00:28,칼도 안 든 캐릭터가 이렇게 무섭긴 처음이다.
546,10,2015.12.09 03:18,제이크 질렌할  소름돋는 연기 ㄷ
547,8,2015.12.06 21:29,"제이크 질렌할의 영화를 두편 연속 보았다. 조디악, 나이트크롤러 매우 대조적인 캐릭터지만 각각의 개성을 완벽하게 살려내는 그의 연기력에 감탄! 영화가 주는 의미는 덤!!"
548,8,2015.12.06 17:57,이 사람의 행보를 더더 보고싶다
549,10,2015.12.06 16:55,OOO기력에 미친재미다
550,10,2015.11.18 01:28,제이크 질렌할 최고의 연기..수작이다
551,10,2015.11.17 08:56,와..그 광기 어린 눈빛이란
552,8,2015.10.25 21:42,"NO mercy! NO conscience! 자비없는 연기 제이크, 양심없는 인간 루이스. 둘 다 괴물 같았다. 물론 다른 의미에서."
553,10,2015.10.23 23:17,장난 아니네 긴장감 몰입감 쩐다. 이게 성공이라면 정말 성공이라는 정의는 잘 못됐다.
554,7,2015.10.21 18:59,꾸준한 흥미유발로 재밋게 봤는데 소시오패스 같은 주인공의 광기어린 성공담이 왠지 청춘들에게 희망을 주는것 같아 훈훈합니다.
555,10,2015.10.21 03:54,미디어의 잔혹성에 빠져든 소시오패스
556,8,2015.10.15 23:21,제이크 질렌할의 사백안은 이러려고 존재했던가
557,9,2015.10.13 21:24,뭐라고 해야 하나... 소시오패스의 열혈 성공기? 먹고 살기 힘들다?  하튼 길로이 집안은  사람들은 영화 잘 만든다
558,9,2015.10.13 20:10,쫄깃한 현장감과 질렌할의 표정연기가 갑. 저래 놓고 마지막에 잘 먹고 잘 살아도 되나 싶지만 왠지 그의 입장에서 사건들을 보게됨. 첨에 시계강도 장면만 없었다면 영화내내 그의 찌질함+절박함+번뜩임에 좀더 이입되었을텐데. 
559,9,2015.10.13 01:28,마지막에 긴장감 좋네요.
560,8,2015.10.12 23:04,제이크 질렌할 나오면 이제 무조건 봐야겠다.
561,10,2015.10.11 02:45,질렌할의 신들린 연기...눈빛만으로도 관객을 제압할수있는 배우
562,10,2015.10.06 22:17,"유튜브에 상위 10대기업 임원들의 소시오패스지수를 측정하는 테스트를 한 결과 일반인보다 상당히 높은 점수가 나온 것에 대한 영상이있는데, 실제로 내가 들은 혹은 만나본 성공한사람들의 인간상들의 특성들이 너무 비슷해서 소름. "
563,7,2015.10.05 02:15,서글서글 착하게 생긴 질렌할이 이렇게 또라이 같아 보일줄. 첫 등장의 그 스산한 눈과 내내 떠드는 자기개발 어투가 어우러져 오래간만에 입체적인 소시오패스. 이런 연기도 어울리는 배우구나 감탄함.
564,7,2015.10.03 01:19,제이크 질렌할 이 사이코 패스야! 진짜야 뭐야!
565,8,2015.10.02 19:11,"목적을 위해서라면 과정은 중요하지 않은 루이스 블룸, 경쟁사회인 지금의 현대인들이 봐야할 영화같다. 제이크 질렌할의 쏘시오패스 연기는 마치 ""더 팬""의 로버트 드니로를 보는 것 같았다."
566,10,2015.10.02 17:06,권선징악 타령하는 성격이면 보지 말것. 불쾌한 스토리를  소름 끼치도록 현실감 있는 연기로 완벽하게 만들어냈음.
567,9,2015.09.30 07:52,하비에르바르뎀 생각나네요. 얼굴이나 눈빛은 알파치노를 닮았것같고... 아무튼 올해 이렇게 흡입력 있는 영화는 처음입니다.
568,10,2015.09.25 23:57,연기도 뛰어날 뿐더러 내용도 아주 좋은영화. 또한 사건이 일어났을때 안도와주고 스마트폰으로 찍는 파렴치한들에게 꼭 보여주고싶다. 만약 감독이 내가 느낀바를 의도했다면 그건 정말 대단한거고
569,9,2015.09.24 02:24,흥미롭게 봤던 영화~ 볼만했음
570,9,2015.09.24 01:39,이 영화는 심장에 좋지않다...
571,10,2015.09.23 08:44,플롯은 평이하나 질렌할이 신들린 연기로 영화 자체를 끌어올렸다.
572,9,2015.09.22 18:15,보는내내 불편했다 제이크 질렌할의 소름끼치도록 실제같은 메소드 연기와 극의 진행때문에. 이 영화는 단순 범죄영화가 아니다 공포영화다
573,10,2015.09.22 17:19,질렌할 남우주연상급 연기력.. 진짜 싸이코인줄 알았음
574,10,2015.09.19 01:18,주제의식 표출과 장르적 쾌감 두마리 토끼를 다 잡은 영화
575,7,2015.09.17 12:05,기분 드럽다 인턴직원 불쌍해서
576,9,2015.09.06 20:46,보는내내 긴장감을 조성하는 연출 연기가 멋지다. 멋지다.
577,8,2015.09.06 15:41,중간에 루즈한 부분이 좀 있어서 몰입감은 좀 떨어지긴해도.  괜찮은 영화인듯. 몰입감을 더 살렸더라면 최고의 영화가 되지 않았을까 하는 생각이.
578,8,2015.09.06 11:17,이게 성공이라 한다면 성공의 정의가 잘 못 내려진 것이다.
579,9,2015.09.04 01:26,제이크 질렌할 진짜 싸이코 연기 갑이다. 영화보고나서 기분나빠질 정도.  소시오패스 중에 성공한 사람이 많다더니 진짜 그럴수도 있곘단 생각이 드네.
580,8,2015.09.03 21:48,"미친 자본주의 세상에서의 자극히 정상적인 성공담. 그를 멈추게 할 수 있는 단 하나의 방법은 더 많은 돈을 지불하는 것 뿐이며, 윤리와 도덕 또한 돈으로 살 수 있음은 당연하다."
581,10,2015.09.02 22:09,정직해서 성공할 수 있을까?
582,8,2015.08.30 15:25,섬세하게 만들어서 그 직업에 대해 쉽게 이해하게 된다.오랫만에 보는 르네루소 매력도 볼수 있어서 좋았다.
583,6,2015.08.28 07:47,볼만하다....그렇다
584,7,2015.08.28 07:21,재이크질할렌 때려주고싶을정도로 배역을 잘소화한듯.. 그리고 긴박한 씬에 삽입되는 영화음악들이 참 특이하다
585,10,2015.08.23 23:06,제이크 질렌할의 연기는 대단했다
586,8,2015.08.21 22:44,제이크 질렌할 나오는 영화는 대부분 히트친다. 대작은 아니지만 여운이 남는다. 이 세계에는 소시오패스가 아주 많이 존재한 것 같다. 특히 정치인과 언론인들...
587,7,2015.08.20 12:41,"이 시대 어중간한 자영업 사장들의 야비함과 치졸함 , 오로지 자기 이익만을 위해 이빨털어 대는 것이  소름끼칠 정도로 똑같은 갑질 싸이코 연기"
588,8,2015.08.17 19:52,재밌게봤어요 추천! ㅎㅎㅎ
589,8,2015.08.16 10:48,공포영화 보다 더 소오름.. 제이크 질렌할 앞으로가 더 기대됨!
590,9,2015.08.15 20:31,질렌할 연기지렸음 첼린져srt 배기음도 지림
591,8,2015.08.09 12:42,어떤 일을 하든지 장비는 좋아야 된다. 영화내내 빛을 발한 닷지 챌린저가 내심장을 요동치게 만든다
592,7,2015.08.08 22:25,질렌할의 연기가 아주 소름이네.. 하지만 결말이 다소 허무
593,8,2015.08.03 20:09,권력과 돈에 눈이 멀어 양심이라고는 눈곱만치도 찾아볼 수 없는 또라이 남주. 근데 남주 표정 정말 섬뜩함. 꿈에 나올까봐 겁나네;;
594,8,2015.08.03 02:35,재밋네요. 강추합니다.
595,8,2015.08.02 20:20,"생각보다 스릴있고, 시간가는 줄 모르고 봤네요. 아쉬운 부분도 있지만, 오랫만에 볼만한 영화였음"
596,10,2015.08.01 06:06,헐~~대박! 질렌할 연기잘하는줄은 알았지만 이정도일줄~~진짜 정신병자 같았음. 장르는 스릴러인데 중간중간 웃음이나는건 왜일까?
597,7,2015.07.31 22:37,먹고살기위해 싸이코패스가 되는 협상의 달인
598,9,2015.07.29 17:17,졸린눈을 비비며 한편만 보고 자야지 했는데 쩔어주는 몰입감 덕분에 뎃글 남기러 왔습니다 추천할만 한 영화네요
599,8,2015.07.26 17:16,자극적이고 극한 사항을 선호하는 사회를 잘 표현한것 같다. 근데 주인공이 정의라니~ 감옥에 가야 정답인데
600,9,2015.07.23 01:24,"질렌할의 또라이 연기, 지린다"
601,9,2015.07.20 21:29,섬뜩한 스토리를 긴장감을 놓치지 않고 잘 살렸다
602,8,2015.07.19 17:26,더러운 자본사회의 뒷 이야기를 말해주고 있는 영화
603,10,2015.07.18 21:34,숨막히게 내달리는 자동차의 조수석에 앉아서 두시간 동안 야경을 감상한 느낌. 제이크 질렌할의 연기에 박수를!
604,10,2015.07.17 19:38,핵잼101010101010101010
605,8,2015.07.17 00:55,현대인의 물질 만능주의를 잘 보여준 듯.
606,8,2015.07.14 19:04,흥미진진... 많이 보던 내용이긴 함...
607,10,2015.07.07 03:22,제이크  진짜 연기잘함 다양한 영화에 출연하는이유가 있었군.  남우주연상 줘야함
608,10,2015.07.04 19:14,자기계발서에선 알려주지 않는 성공의 비결
609,8,2015.07.04 17:06,기대안하고 봤는데 진짜 재미있게봤다. 감독이 시사하는바가 많은 영화다.
610,10,2015.07.04 09:40,연기 개쩔음..그냥믿고보시면됨
611,7,2015.07.02 16:32,이 영화는 후반부가 압권이다.. 질렌할이 주인공역 안 맡았으면 영화가 어찌 되었을까?
612,10,2015.07.02 03:33,성공하려면 미쳐야 한다.. 마지막 20분은 충격이었다
613,10,2015.06.26 23:44,대박 !!!!... 고기가 물을 만났다는 말은 이런 때 쓰는 말이지
614,7,2015.06.24 23:04,"영화를 보면서 저렇게 열심히 살면 뭐든 되겠다고 생각했는데, 이건 좀 너무한 것 같다. 돈이란 게 참..."
615,9,2015.06.24 02:00,영화는 킬링타임용 미친 연기는 골든글로브 주연급
616,6,2015.06.23 02:05,썩어있는 현대 미디어산업의 부패상을 신랄하게 비판하는 영화. 그럭저럭 볼만하다.
617,9,2015.06.22 03:13,"밀가루 이스트 물 소금만으로 만들어진 최고급빵.잔인한 장면없이도 섬뜩한 연출,연기!"
618,9,2015.06.21 04:10,추천합니다 킬링타임으로 제격임
619,9,2015.06.21 00:26,영화 참 잘 만들어..볼만했음..
620,7,2015.06.14 22:14,실화를 바탕으로한거면 정말 정신나간 새끼.... 영화는 다소 지루할 수 있으나 볼만함
621,10,2015.06.14 18:52,돈이라는 권력이 사람을 어떻게 뒤집어놓을수있는가에 대한 완벽한 정의 제이크질렌할은 이제 30후반인데 이런 연기를 할수있다는 것에 박수를.. 중년이 되면 어떤 연기를보여줄까 벌써부터기대중
622,9,2015.06.14 13:11,제이크 질렌할의 살벌한 표정 연기가 압권. 광기가 도사린 미소가 아직도 섬짓하다. 특별히 흥미를 끌 만한 눈요깃거리가 있는 것도 아닌데 처음부터 끝까지 긴장하고 몰입하게 만든다.
623,10,2015.06.11 20:04,작년에 옥토버 스카이를 봤었다. 제이크 질렌할의 앳된 모습이 인상적이고 훈훈하고 가슴 따듯한 영화였다. 때문에 제이크 질렌할의 싸이코 연기가 더욱 소름끼쳤다. 영화가 끝나고도 한참을 멍때리고 있었다.
624,10,2015.06.11 05:36,정말 오랜만에 발견한 엄청난 영화. 졸린데 시간떼울겸 별기대없이 봤는데 잠이 확달아남. 제이크 질렌할의 연기도 엄청나다.
625,10,2015.06.09 09:49,누군가에겐 당연할지도 모르는....
626,6,2015.06.07 10:39,도덕적이지 않고 출세지향적인 주인공이란 영화를 얼마나 흥미진진하게 만들어 주는가
627,8,2015.05.30 19:22,괜찮습니다. 재밌어요. 강추
628,10,2015.05.27 23:51,평점왜케낮지? 정말재밌게봄
629,10,2015.05.27 13:08,평점이 낮아서 10점줌 질렌할 연기짱
630,7,2015.05.23 18:39,훌륭했다 하지만 그렇게 끝날줄은 몰랐네
631,8,2015.05.23 04:14,인간의 탈을 쓴 하이에나. 제이크 질렌할은 원래 잘했지만 여기선 더 놀랍다
632,8,2015.05.22 10:45,냉혹한 현실을 잘 그려낸
633,10,2015.05.21 08:58,이 영화는 미쳤다. 공포와 웃음으류동시에 선사한다.
634,9,2015.05.11 01:27,"제이크 연기도 좋았고, 스토리도 몰입감 있었음."
635,10,2015.05.08 18:02,제이크 질렌할이 연기를 정말잘한다 빼빼마른 체형덕분에 더욱더 섬뜩해지는 그의연기 자신의 이익을위해서 타인의 생명조차도 중요시 생각하지않는 모습이 인상적이다
636,9,2015.05.08 05:57,집중하고 본다면 꽤 괜찮음..
637,9,2015.05.07 18:38,블룸만으로 스펙타클한 스릴이 완성된 느낌
638,9,2015.05.06 11:24,질렌할 연기를 보는 것만으로 압도된다
639,7,2015.05.05 19:25,질렌할 ㅎㅎ 쩌러...
640,8,2015.05.05 00:00,"오랫만에 꽤 잼있게 보았습니다.^^(헝클어진 사회 속 곳곳에  어느샌가 뿌리내려 발현하고 있는 싸이코 기질은 그 깊이만 다를뿐, 누구에게나 존재하는데 그 능력을 유토피아를 향하여 올바르게 발휘 했으면 합니다.)"
641,7,2015.05.03 02:56,"그것이 당신을 존재하게 하는가, 당신이 그것을 존재하게 하는가. 열정이 광기를 넘어 파국으로 치닫는 그 순간은 마치 마약과 같다."
642,8,2015.04.30 19:42,놀랍지 않은 데 재미가 있다
643,9,2015.04.25 20:05,약간의 억지 스러운 부분도 있었지만 상당히 디테일한 묘사를 표현한 올해의 영화 중 하나 라고 손꼽아 주고 싶은작품 고뇌를 하게 만드는 최고의 연기 시나리오 연출  마음에 듭니다~!!!!
644,8,2015.04.25 15:25,제이크 질렌할은 이 역할 맡으려고 배우한 것 같다.그냥 주인공 그 자체였음.
645,7,2015.04.23 19:15,사람의 올바른 가치관에 대해서는 전혀 평가하지 않는 세상을 향한 조롱과 비판!
646,7,2015.04.21 14:09,2015.04.21
647,10,2015.04.20 15:52,자기만의 철학과 배움으로 열심히 사는 것 같지만 알고보면 지극히 본인만 아는 쓰레기에 그 쓰레기를 넘은 싸이코패스적 행동까지.일부언론의 비윤리적 행태를 꼬집는 것보다 질렌할 연기의 더 눈이간다.곁에두면 정말 섬뜩한 인간의모습의 전형을 잘 보여준것같다. 
648,8,2015.04.20 07:00,인터넷 잡지식과 말빨로 성공하는 법
649,7,2015.04.19 22:12,"처음에는 자극적인 것을 찾게 되지만, 조만간 한계가 오기 마련이다."
650,8,2015.04.19 17:39,스마트한 싸이코패스가 저런 일을 하면 저렇게 되는구나라고 느낀 영화 저거 보니 우리나라 정치인들 생각 나는 게 참 서글프네
651,9,2015.04.18 00:10,자극과 갈망으로 일궈낸 아메리칸 드림의 어두운 모습을 단 일말의 여지없이 보여주는 영화
652,10,2015.04.17 17:19,도니다코에 이은 제이크 최고의 싸이코연기
653,9,2015.04.16 04:29,질렌할의 루블롬연기는 정말 찔러도 피 한방울 안나올것 같다. 많은 생각을 하게 되는 영화.
654,8,2015.04.14 20:34,기자와 취재진들의 특성을 극단적으로 보여주는 영화
655,7,2015.04.12 20:48,청년 실업률이 높으면 이렇게 됩니다.
